Australian Bureau of Statistics

"2021 Census - counting persons, 15 years and over"
"STATE (POW) and STATE (UR) by 1-digit level INDP Industry of Employment"
"Counting: Person Records"

Filters:
"Default Summation","Person Records"

"Counting","STATE (POW)","STATE (UR)","1-digit level INDP Industry of Employment","Count",
"Person Records","New South Wales","New South Wales","Agriculture, Forestry and Fishing",73476
"Person Records","New South Wales","New South Wales","Mining",33658
"Person Records","New South Wales","New South Wales","Manufacturing",197396
"Person Records","New South Wales","New South Wales","Electricity, Gas, Water and Waste Services",34659
"Person Records","New South Wales","New South Wales","Construction",308631
"Person Records","New South Wales","New South Wales","Wholesale Trade",101433
"Person Records","New South Wales","New South Wales","Retail Trade",325948
"Person Records","New South Wales","New South Wales","Accommodation and Food Services",224449
"Person Records","New South Wales","New South Wales","Transport, Postal and Warehousing",166233
"Person Records","New South Wales","New South Wales","Information Media and Telecommunications",66708
"Person Records","New South Wales","New South Wales","Financial and Insurance Services",191642
"Person Records","New South Wales","New South Wales","Rental, Hiring and Real Estate Services",61589
"Person Records","New South Wales","New South Wales","Professional, Scientific and Technical Services",318456
"Person Records","New South Wales","New South Wales","Administrative and Support Services",115802
"Person Records","New South Wales","New South Wales","Public Administration and Safety",208444
"Person Records","New South Wales","New South Wales","Education and Training",316324
"Person Records","New South Wales","New South Wales","Health Care and Social Assistance",520164
"Person Records","New South Wales","New South Wales","Arts and Recreation Services",50280
"Person Records","New South Wales","New South Wales","Other Services",123042
"Person Records","New South Wales","New South Wales","Inadequately described",116345
"Person Records","New South Wales","New South Wales","Not stated",48809
"Person Records","New South Wales","New South Wales","Not applicable",0
"Person Records","New South Wales","New South Wales","Total",3603485
"Person Records","New South Wales","Victoria","Agriculture, Forestry and Fishing",949
"Person Records","New South Wales","Victoria","Mining",275
"Person Records","New South Wales","Victoria","Manufacturing",2256
"Person Records","New South Wales","Victoria","Electricity, Gas, Water and Waste Services",341
"Person Records","New South Wales","Victoria","Construction",1625
"Person Records","New South Wales","Victoria","Wholesale Trade",1557
"Person Records","New South Wales","Victoria","Retail Trade",2180
"Person Records","New South Wales","Victoria","Accommodation and Food Services",1526
"Person Records","New South Wales","Victoria","Transport, Postal and Warehousing",1359
"Person Records","New South Wales","Victoria","Information Media and Telecommunications",728
"Person Records","New South Wales","Victoria","Financial and Insurance Services",1311
"Person Records","New South Wales","Victoria","Rental, Hiring and Real Estate Services",222
"Person Records","New South Wales","Victoria","Professional, Scientific and Technical Services",3179
"Person Records","New South Wales","Victoria","Administrative and Support Services",792
"Person Records","New South Wales","Victoria","Public Administration and Safety",1530
"Person Records","New South Wales","Victoria","Education and Training",1577
"Person Records","New South Wales","Victoria","Health Care and Social Assistance",3378
"Person Records","New South Wales","Victoria","Arts and Recreation Services",454
"Person Records","New South Wales","Victoria","Other Services",628
"Person Records","New South Wales","Victoria","Inadequately described",1127
"Person Records","New South Wales","Victoria","Not stated",357
"Person Records","New South Wales","Victoria","Not applicable",0
"Person Records","New South Wales","Victoria","Total",27353
"Person Records","New South Wales","Queensland","Agriculture, Forestry and Fishing",484
"Person Records","New South Wales","Queensland","Mining",455
"Person Records","New South Wales","Queensland","Manufacturing",1122
"Person Records","New South Wales","Queensland","Electricity, Gas, Water and Waste Services",261
"Person Records","New South Wales","Queensland","Construction",1943
"Person Records","New South Wales","Queensland","Wholesale Trade",1216
"Person Records","New South Wales","Queensland","Retail Trade",1740
"Person Records","New South Wales","Queensland","Accommodation and Food Services",1130
"Person Records","New South Wales","Queensland","Transport, Postal and Warehousing",1186
"Person Records","New South Wales","Queensland","Information Media and Telecommunications",655
"Person Records","New South Wales","Queensland","Financial and Insurance Services",1304
"Person Records","New South Wales","Queensland","Rental, Hiring and Real Estate Services",377
"Person Records","New South Wales","Queensland","Professional, Scientific and Technical Services",2754
"Person Records","New South Wales","Queensland","Administrative and Support Services",796
"Person Records","New South Wales","Queensland","Public Administration and Safety",1529
"Person Records","New South Wales","Queensland","Education and Training",1403
"Person Records","New South Wales","Queensland","Health Care and Social Assistance",3159
"Person Records","New South Wales","Queensland","Arts and Recreation Services",404
"Person Records","New South Wales","Queensland","Other Services",578
"Person Records","New South Wales","Queensland","Inadequately described",1033
"Person Records","New South Wales","Queensland","Not stated",267
"Person Records","New South Wales","Queensland","Not applicable",0
"Person Records","New South Wales","Queensland","Total",23800
"Person Records","New South Wales","South Australia","Agriculture, Forestry and Fishing",69
"Person Records","New South Wales","South Australia","Mining",105
"Person Records","New South Wales","South Australia","Manufacturing",204
"Person Records","New South Wales","South Australia","Electricity, Gas, Water and Waste Services",50
"Person Records","New South Wales","South Australia","Construction",189
"Person Records","New South Wales","South Australia","Wholesale Trade",259
"Person Records","New South Wales","South Australia","Retail Trade",184
"Person Records","New South Wales","South Australia","Accommodation and Food Services",89
"Person Records","New South Wales","South Australia","Transport, Postal and Warehousing",198
"Person Records","New South Wales","South Australia","Information Media and Telecommunications",102
"Person Records","New South Wales","South Australia","Financial and Insurance Services",242
"Person Records","New South Wales","South Australia","Rental, Hiring and Real Estate Services",31
"Person Records","New South Wales","South Australia","Professional, Scientific and Technical Services",579
"Person Records","New South Wales","South Australia","Administrative and Support Services",122
"Person Records","New South Wales","South Australia","Public Administration and Safety",148
"Person Records","New South Wales","South Australia","Education and Training",179
"Person Records","New South Wales","South Australia","Health Care and Social Assistance",284
"Person Records","New South Wales","South Australia","Arts and Recreation Services",50
"Person Records","New South Wales","South Australia","Other Services",60
"Person Records","New South Wales","South Australia","Inadequately described",128
"Person Records","New South Wales","South Australia","Not stated",35
"Person Records","New South Wales","South Australia","Not applicable",0
"Person Records","New South Wales","South Australia","Total",3315
